Element,Transition,Theoretical_eV,Experimental_eV
Kr,K edge,14328.06,14324.61
Kr,L 1 M 1,1632.4,
Kr,L 1 M 2,1703.1,1697.5
Kr,L 1 M 3,1710.7,1706.8
Kr,L 1 M 4,1830.1,
Kr,L 1 M 5,1831.3,
Kr,L 1 N 1,1898.7,
Kr,L 1 N 2,1910.9,
Kr,L 1 N 3,1911.5,
Kr,L 1 edge,1925.49,1916.3
Kr,L 2 M 1,1439.4,
Kr,L 2 M 2,1510.1,
Kr,L 2 M 3,1517.7,
Kr,L 2 M 4,1637.05,1636.876
Kr,L 2 M 5,1638.30,
Kr,L 2 N 1,1705.7,1703.3
Kr,L 2 N 2,1717.86,
Kr,L 2 N 3,1718.52,
Kr,L 2 edge,1732.49,1729.66
Kr,L 3 M 1,1386.9,
Kr,L 3 M 2,1457.7,
Kr,L 3 M 3,1465.3,
Kr,L 3 M 4,1584.63,1585.411
Kr,L 3 M 5,1585.88,1585.411
Kr,L 3 N 1,1653.2,1650.9
Kr,L 3 N 2,1665.43,
Kr,L 3 N 3,1666.09,
Kr,L 3 edge,1680.06,1677.25
Rb,KL 1,13135.18,
Rb,KL 2,13335.75,13335.88
Rb,KL 3,13395.05,13395.49
Rb,KM 1,14878.6,
Rb,KM 2,14952.7,14951.86
Rb,KM 3,14961.6,14961.42
Rb,KM 4,15088.21,15084.8
Rb,KM 5,15089.65,15084.8
Rb,KN 1,15166.8,
Rb,KN 2,15185.59,15185.54
Rb,KN 3,15186.55,15185.54
Rb,KN 4,15205.1,1
Rb,KN 5,15205.1,1
Rb,K edge,15207.74,15202.5
Rb,L 1 M 1,1743.4,
Rb,L 1 M 2,1817.6,1817.74
Rb,L 1 M 3,1826.4,1826.60
Rb,L 1 M 4,1953.0,
Rb,L 1 M 5,1954.5,
Rb,L 1 N 1,2031.6,
Rb,L 1 N 2,2050.4,2050.72
Rb,L 1 N 3,2051.4,2050.72
Rb,L 1 edge,2072.55,2063.6
Rb,L 2 M 1,1542.9,1541.78
Rb,L 2 M 2,1617.0,
Rb,L 2 M 3,1625.9,
Rb,L 2 M 4,1752.46,1752.18
Rb,L 2 M 5,1753.90,
Rb,L 2 N 1,1831.0,1835.33
Rb,L 2 N 2,1849.84,
Rb,L 2 N 3,1850.79,
Rb,L 2 edge,1871.98,1866.08
Rb,L 3 M 1,1483.6,1482.40
Rb,L 3 M 2,1557.7,
Rb,L 3 M 3,1566.6,
Rb,L 3 M 4,1693.16,1692.57
Rb,L 3 M 5,1694.60,1694.141
Rb,L 3 N 1,1771.7,1775.18
Rb,L 3 N 2,1790.54,
Rb,L 3 N 3,1791.50,
Rb,L 3 edge,1812.69,1806.80
Sr,KL 1,13889.75,
Sr,KL 2,14098.01,14098.03
Sr,KL 3,14164.80,14165.20
Sr,KM 1,15748.1,
Sr,KM 2,15826.2,15825.17
Sr,KM 3,15836.3,15835.89
Sr,KM 4,15970.20,15968.9
Sr,KM 5,15971.90,15968.9
Sr,KN 1,16068.8,
Sr,KN 2,16085.68,16084.68
Sr,KN 3,16086.84,16084.68
Sr,KN 4,16103.9,1
Sr,KN 5,16103.9,1
Sr,K edge,16115.26,16107.2
Sr,L 1 M 1,1858.4,
Sr,L 1 M 2,1936.4,1936.44
Sr,L 1 M 3,1946.6,1947.20
Sr,L 1 M 4,2080.5,
Sr,L 1 M 5,2082.2,
Sr,L 1 N 1,2179.0,
Sr,L 1 N 2,2195.9,2196.52
Sr,L 1 N 3,2197.1,2196.52
Sr,L 1 edge,2225.51,2217.1
Sr,L 2 M 1,1650.1,1649.337
Sr,L 2 M 2,1728.1,
Sr,L 2 M 3,1738.3,
Sr,L 2 M 4,1872.19,1871.74
Sr,L 2 M 5,1873.88,
Sr,L 2 N 1,1970.7,1969.19
Sr,L 2 N 2,1987.67,
Sr,L 2 N 3,1988.82,
Sr,L 2 edge,2017.25,2008.46
Sr,L 3 M 1,1583.3,1582.174
Sr,L 3 M 2,1661.4,
Sr,L 3 M 3,1671.5,
Sr,L 3 M 4,1805.40,1804.77
Sr,L 3 M 5,1807.10,1806.585
Sr,L 3 N 1,1904.0,1901.83
Sr,L 3 N 2,1920.88,
Sr,L 3 N 3,1922.04,
Sr,L 3 edge,1950.46,1941.17
Y,KL 1,14667.13,
Y,KL 2,14883.00,14882.94
Y,KL 3,14958.14,14958.54
Y,KM 1,16644.7,
Y,KM 2,16726.8,16725.9
Y,KM 3,16738.4,16738.08
Y,KM 4,16879.20,16879.8
Y,KM 5,16881.39,16879.8
Y,KN 1,16994.8,
Y,KN 2,17012.08,17015.6
Y,KN 3,17015.30,17015.6
Y,KN 4,17040.90,17036.2
Y,KN 5,17036.2,1
Y,K edge,17047.90,17036.612
Y,L 1 M 1,1977.5,
Y,L 1 M 2,2059.6,2059.99
Y,L 1 M 3,2071.3,2072.17
Y,L 1 M 4,2212.1,
Y,L 1 M 5,2214.3,
Y,L 1 N 1,2327.7,
Y,L 1 N 2,2345.0,2346.82
Y,L 1 N 3,2348.2,2346.82
Y,L 1 N 4,2373.8,
Y,L 1 edge,2380.76,2376.5
Y,L 2 M 1,1761.7,1760.96
Y,L 2 M 2,1843.8,
Y,L 2 M 3,1855.4,
Y,L 2 M 4,1996.20,1995.85
Y,L 2 M 5,1998.39,
Y,L 2 N 1,2111.8,2110.19
Y,L 2 N 2,2129.08,
Y,L 2 N 3,2132.30,
Y,L 2 N 4,2157.90,
Y,L 2 edge,2164.89,2153.97
Y,L 3 M 1,1686.5,1685.39
Y,L 3 M 2,1768.6,
Y,L 3 M 3,1780.3,
Y,L 3 M 4,1921.07,1920.48
Y,L 3 M 5,1923.26,1922.564
Y,L 3 N 1,2036.7,2034.43
Y,L 3 N 2,2053.95,
Y,L 3 N 3,2057.16,
Y,L 3 N 4,2082.77,
Y,L 3 edge,2089.76,2079.54
Zr,KL 1,15467.0,
Zr,KL 2,15690.61,15690.645
Zr,KL 3,15774.87,15774.914
Zr,KM 1,17568.0,
Zr,KM 2,17654.1,17652.628
Zr,KM 3,17667.4,17666.578
Zr,KM 4,17815.21,17816.1
Zr,KM 5,17817.98,17816.1
Zr,KN 1,17948.5,
Zr,KN 2,17966.67,17970.3
Zr,KN 3,17971.47,17970.3
Zr,KN 4,18000.09,17994.3
Zr,KN 5,17994.3,1
Zr,K edge,18008.15,17995.872
Zr,L 1 M 1,2101.0,
Zr,L 1 M 2,2187.1,2187.714
Zr,L 1 M 3,2200.4,2201.063
Zr,L 1 M 4,2348.2,
Zr,L 1 M 5,2350.9,
Zr,L 1 N 1,2481.5,
Zr,L 1 N 2,2499.6,2502.87
Zr,L 1 N 3,2504.4,2502.87
Zr,L 1 N 4,2533.0,
Zr,L 1 edge,2541.10,2541.1
Zr,L 2 M 1,1877.4,1876.56
Zr,L 2 M 2,1963.5,
Zr,L 2 M 3,1976.8,
Zr,L 2 M 4,2124.59,2124.394
Zr,L 2 M 5,2127.36,
Zr,L 2 N 1,2257.9,2255.17
Zr,L 2 N 2,2276.06,
Zr,L 2 N 3,2280.86,
Zr,L 2 N 4,2309.48,2302.66
Zr,L 2 edge,2317.53,2305.36
Zr,L 3 M 1,1793.2,1792.111
Zr,L 3 M 2,1879.2,
Zr,L 3 M 3,1892.6,
Zr,L 3 M 4,2040.34,2040.19
Zr,L 3 M 5,2043.11,2042.489
Zr,L 3 N 1,2173.7,2171.28
Zr,L 3 N 2,2191.80,
Zr,L 3 N 3,2196.60,
Zr,L 3 N 4,2225.22,2219.40
Zr,L 3 N 5,2219.40,1
Zr,L 3 edge,2233.28,2222.30
Nb,KL 1,16290.1,
Nb,KL 2,16521.35,16521.28
Nb,KL 3,16615.65,16615.16
Nb,KM 1,18518.9,
Nb,KM 2,18608.8,18606.5
Nb,KM 3,18624.0,18622.68
Nb,KM 4,18778.45,
Nb,KM 5,18782.22,
Nb,KN 1,18930.5,
Nb,KN 2,18948.34,18952.9
Nb,KN 3,18955.56,18952.9
Nb,KN 4,18985.99,18981.3
Nb,KN 5,18981.3,1
Nb,K edge,18990.67,18982.961
Nb,L 1 M 1,2228.7,
Nb,L 1 M 2,2318.7,2319.38
Nb,L 1 M 3,2333.9,2334.80
Nb,L 1 M 4,2488.3,
Nb,L 1 M 5,2492.1,
Nb,L 1 N 1,2640.4,
Nb,L 1 N 2,2658.2,2663.88
Nb,L 1 N 3,2665.4,2663.88
Nb,L 1 N 4,2695.8,
Nb,L 1 edge,2700.53,2710.0
Nb,L 2 M 1,1997.5,1996.21
Nb,L 2 M 2,2087.5,
Nb,L 2 M 3,2102.7,
Nb,L 2 M 4,2257.11,2257.38
Nb,L 2 M 5,2260.88,
Nb,L 2 N 1,2409.2,2406.63
Nb,L 2 N 2,2426.99,
Nb,L 2 N 3,2434.21,
Nb,L 2 N 4,2464.64,2461.87
Nb,L 2 edge,2469.32,2464.37
Nb,L 3 M 1,1903.2,1902.27
Nb,L 3 M 2,1993.2,
Nb,L 3 M 3,2008.4,
Nb,L 3 M 4,2162.80,2163.02
Nb,L 3 M 5,2166.57,2165.89
Nb,L 3 N 1,2314.8,2312.54
Nb,L 3 N 2,2332.68,
Nb,L 3 N 3,2339.90,
Nb,L 3 N 4,2370.34,2367.02
Nb,L 3 N 5,2367.02,1
Nb,L 3 edge,2375.01,2370.60
Mo,KL 1,17135.0,
Mo,KL 2,17374.18,17374.29
Mo,KL 3,17479.10,17479.372
Mo,KM 1,19495.8,
Mo,KM 2,19589.9,19590.25
Mo,KM 3,19607.1,19608.34
Mo,KM 4,19768.70,19771.4
Mo,KM 5,19772.81,19776.4
Mo,KN 1,19940.3,
Mo,KN 2,19960.0,19965.27
Mo,KN 3,19967.16,19965.27
Mo,KN 4,20000.73,19996.8
Mo,KN 5,19999.84,19996.8
Mo,K edge,20008.81,20000.351
Mo,L 1 M 1,2360.9,
Mo,L 1 M 2,2454.9,2455.68
Mo,L 1 M 3,2472.1,2473.07
Mo,L 1 M 4,2633.7,
Mo,L 1 M 5,2637.8,
Mo,L 1 N 1,2805.3,
Mo,L 1 N 2,2825.1,2830.65
Mo,L 1 N 3,2832.2,2830.65
Mo,L 1 N 4,2865.8,
Mo,L 1 N 5,2864.87,
Mo,L 1 edge,2873.84,2880.6
Mo,L 2 M 1,2121.7,2120.26
Mo,L 2 M 2,2215.7,
Mo,L 2 M 3,2232.9,
Mo,L 2 M 4,2394.52,2394.831
Mo,L 2 M 5,2398.63,
Mo,L 2 N 1,2566.1,2563.26
Mo,L 2 N 2,2585.9,
Mo,L 2 N 3,2592.98,
Mo,L 2 N 4,2626.55,2623.52
Mo,L 2 N 5,2625.66,
Mo,L 2 edge,2634.63,2627.30
Mo,L 3 M 1,2016.7,2015.71
Mo,L 3 M 2,2110.8,
Mo,L 3 M 3,2128.0,
Mo,L 3 M 4,2289.60,2289.875
Mo,L 3 M 5,2293.71,2293.187
Mo,L 3 N 1,2461.2,2455.68
Mo,L 3 N 2,2480.9,
Mo,L 3 N 3,2488.06,
Mo,L 3 N 4,2521.63,2518.33
Mo,L 3 N 5,2520.74,2518.33
Mo,L 3 edge,2529.71,2523.56
Tc,KL 1,18003.8,
Tc,KL 2,18251.28,18250.9
Tc,KL 3,18367.56,18367.2
Tc,KM 1,20501.2,
Tc,KM 2,20599.4,20599.2
Tc,KM 3,20618.7,20619.0
Tc,KM 4,20787.80,
Tc,KM 5,20792.02,
Tc,KN 1,20977.3,
Tc,KN 2,20999.2,21005.4
Tc,KN 3,21006.03,21005.4
Tc,KN 4,21042.72,
Tc,KN 5,21043.05,
Tc,K edge,21050.47,21047.49
Tc,L 1 M 1,2497.4,
Tc,L 1 M 2,2595.6,
Tc,L 1 M 3,2614.9,0
Tc,L 1 M 4,2784.0,
Tc,L 1 M 5,2788.2,
Tc,L 1 N 1,2973.4,
Tc,L 1 N 2,2995.4,
Tc,L 1 N 3,3002.2,
Tc,L 1 N 4,3038.9,
Tc,L 1 N 5,3039.2,
Tc,L 1 edge,3046.63,3055.3
Tc,L 2 M 1,2249.9,
Tc,L 2 M 2,2348.2,
Tc,L 2 M 3,2367.5,
Tc,L 2 M 4,2536.52,2536.83
Tc,L 2 M 5,2540.74,
Tc,L 2 N 1,2726.0,
Tc,L 2 N 2,2747.9,
Tc,L 2 N 3,2754.75,
Tc,L 2 N 4,2791.44,
Tc,L 2 N 5,2791.77,
Tc,L 2 edge,2799.19,2794.91
Tc,L 3 M 1,2133.6,
Tc,L 3 M 2,2231.9,
Tc,L 3 M 3,2251.2,
Tc,L 3 M 4,2420.24,
Tc,L 3 M 5,2424.46,2423.99
Tc,L 3 N 1,2609.7,
Tc,L 3 N 2,2631.7,
Tc,L 3 N 3,2638.46,
Tc,L 3 N 4,2675.15,
Tc,L 3 N 5,2675.49,
Tc,L 3 edge,2682.91,2677.80
Ru,KL 1,18895.0,
Ru,KL 2,19150.67,19150.49
Ru,KL 3,19279.51,19279.16
Ru,KM 1,21533.3,
Ru,KM 2,21635.7,21634.65
Ru,KM 3,21657.5,21656.75
Ru,KM 4,21833.74,21828
Ru,KM 5,21838.57,21833.6
Ru,KN 1,22046.6,
Ru,KN 2,22071.1,22074.3
Ru,KN 3,22077.45,22074.3
Ru,KN 4,22117.30,22104.6
Ru,KN 5,22117.91,22104.6
Ru,K edge,22127.70,22119.56
Ru,L 1 M 1,2638.3,
Ru,L 1 M 2,2740.7,2741.15
Ru,L 1 M 3,2762.5,2763.39
Ru,L 1 M 4,2938.7,
Ru,L 1 M 5,2943.6,
Ru,L 1 N 1,3151.6,
Ru,L 1 N 2,3176.1,3180.91
Ru,L 1 N 3,3182.5,3180.91
Ru,L 1 N 4,3222.3,
Ru,L 1 N 5,3222.9,
Ru,L 1 edge,3232.69,3232.9
Ru,L 2 M 1,2382.6,2381.99
Ru,L 2 M 2,2485.1,
Ru,L 2 M 3,2506.8,
Ru,L 2 M 4,2683.1,2683.263
Ru,L 2 M 5,2687.90,
Ru,L 2 N 1,2895.9,2891.85
Ru,L 2 N 2,2920.5,
Ru,L 2 N 3,2926.79,
Ru,L 2 N 4,2966.64,2964.52
Ru,L 2 N 5,2967.25,
Ru,L 2 edge,2977.03,2966.1
Ru,L 3 M 1,2253.8,2252.79
Ru,L 3 M 2,2356.2,
Ru,L 3 M 3,2377.9,
Ru,L 3 M 4,2554.23,2554.330
Ru,L 3 M 5,2559.06,2558.579
Ru,L 3 N 1,2767.1,2763.39
Ru,L 3 N 2,2791.6,
Ru,L 3 N 3,2797.95,
Ru,L 3 N 4,2837.79,2835.96
Ru,L 3 N 5,2838.40,2835.96
Ru,L 3 edge,2848.19,2837.77
Rh,KL 1,19809.3,
Rh,KL 2,20073.48,20073.67
Rh,KL 3,20215.75,20216.12
Rh,KM 1,22586.0,
Rh,KM 2,22699.8,22698.83
Rh,KM 3,22724.1,22723.59
Rh,KM 4,22907.81,22909.6
Rh,KM 5,22913.04,22916.8
Rh,KN 1,23142.4,
Rh,KN 2,23169.9,23173.0
Rh,KN 3,23175.60,23173.0
Rh,KN 4,23218.69,23217.2
Rh,KN 5,23219.47,23217.2
Rh,K edge,23230.23,23221.99
Rh,L 1 M 1,2776.6,
Rh,L 1 M 2,2890.5,2890.84
Rh,L 1 M 3,2914.8,2915.72
Rh,L 1 M 4,3098.5,
Rh,L 1 M 5,3103.7,
Rh,L 1 N 1,3333.0,
Rh,L 1 N 2,3360.5,3364.06
Rh,L 1 N 3,3366.3,3364.06
Rh,L 1 N 4,3409.4,
Rh,L 1 N 5,3410.1,
Rh,L 1 edge,3420.89,3416.4
Rh,L 2 M 1,2512.5,2519.10
Rh,L 2 M 2,2626.3,
Rh,L 2 M 3,2650.6,
Rh,L 2 M 4,2834.3,2834.439
Rh,L 2 M 5,2839.56,
Rh,L 2 N 1,3068.9,3065.00
Rh,L 2 N 2,3096.4,
Rh,L 2 N 3,3102.1,
Rh,L 2 N 4,3145.21,3143.81
Rh,L 2 N 5,3145.99,
Rh,L 2 edge,3156.74,3144.76
Rh,L 3 M 1,2370.2,2376.55
Rh,L 3 M 2,2484.1,
Rh,L 3 M 3,2508.4,
Rh,L 3 M 4,2692.06,2692.078
Rh,L 3 M 5,2697.29,2696.775
Rh,L 3 N 1,2926.6,2922.94
Rh,L 3 N 2,2954.1,
Rh,L 3 N 3,2959.86,
Rh,L 3 N 4,3002.94,3001.27
Rh,L 3 N 5,3003.73,3001.27
Rh,L 3 edge,3014.48,3002.07
Pd,KL 1,20747.8,
Pd,KL 2,21020.61,21020.15
Pd,KL 3,21177.25,21177.08
Pd,KM 1,23681.7,
Pd,KM 2,23792.0,23791.12
Pd,KM 3,23819.5,23818.69
Pd,KM 4,24011.0,23995.0
Pd,KM 5,24016.22,23995.0
Pd,KN 1,24267.0,
Pd,KN 2,24297.2,24299.40
Pd,KN 3,24302.2,24299.40
Pd,KN 4,24348.74,24344
Pd,KN 5,24349.18,24344
Pd,K edge,24357.63,24352.59
Pd,L 1 M 1,2934.0,
Pd,L 1 M 2,3044.3,3045.43
Pd,L 1 M 3,3071.8,3072.98
Pd,L 1 M 4,3263.2,3263.72
Pd,L 1 M 5,3268.5,3269.58
Pd,L 1 N 1,3519.3,
Pd,L 1 N 2,3549.4,3553.32
Pd,L 1 N 3,3554.5,3553.32
Pd,L 1 N 4,3601.0,
Pd,L 1 N 5,3601.4,
Pd,L 1 edge,3609.87,3607.3
Pd,L 2 M 1,2661.1,2660.28
Pd,L 2 M 2,2771.4,
Pd,L 2 M 3,2798.9,
Pd,L 2 M 4,2990.4,2990.250
Pd,L 2 M 5,2995.6,
Pd,L 2 N 1,3246.4,3243.74
Pd,L 2 N 2,3276.5,
Pd,L 2 N 3,3281.6,
Pd,L 2 N 4,3328.13,3328.74
Pd,L 2 N 5,3328.56,
Pd,L 2 edge,3337.01,3330.35
Pd,L 3 M 1,2504.5,2503.43
Pd,L 3 M 2,2614.8,
Pd,L 3 M 3,2642.3,
Pd,L 3 M 4,2833.74,2833.312
Pd,L 3 M 5,2838.97,2838.638
Pd,L 3 N 1,3089.8,3087.06
Pd,L 3 N 2,3119.9,
Pd,L 3 N 3,3125.0,
Pd,L 3 N 4,3171.50,3171.820
Pd,L 3 N 5,3171.93,3171.820
Pd,L 3 edge,3180.38,3173.01
Ag,KL 1,21709.4,
Ag,KL 2,21990.67,21990.30
Ag,KL 3,22162.99,22162.917
Ag,KM 1,24797.4,
Ag,KM 2,24912.8,24911.54
Ag,KM 3,24943.1,24942.42
Ag,KM 4,25141.7,25145.5
Ag,KM 5,25147.6,25145.5
Ag,KN 1,25421.1,
Ag,KN 2,25455.6,25456.71
Ag,KN 3,25457.8,25456.71
Ag,KN 4,25509.99,25511.8
Ag,KN 5,25510.83,25511.8
Ag,K edge,25523.71,25515.59
Ag,L 1 M 1,3088.0,
Ag,L 1 M 2,3203.4,3203.487
Ag,L 1 M 3,3233.6,3234.49
Ag,L 1 M 4,3432.3,3432.91
Ag,L 1 M 5,3438.2,3439.21
Ag,L 1 N 1,3711.7,
Ag,L 1 N 2,3746.2,3743.25
Ag,L 1 N 3,3748.3,3749.82
Ag,L 1 N 4,3800.6,
Ag,L 1 N 5,3801.4,
Ag,L 1 edge,3814.27,3807.34
Ag,L 2 M 1,2806.8,2806.11
Ag,L 2 M 2,2922.1,
Ag,L 2 M 3,2952.4,
Ag,L 2 M 4,3151.1,3150.974
Ag,L 2 M 5,3156.9,
Ag,L 2 N 1,3430.4,3428.35
Ag,L 2 N 2,3465.0,
Ag,L 2 N 3,3467.1,
Ag,L 2 N 4,3519.32,3519.625
Ag,L 2 N 5,3520.17,
Ag,L 2 edge,3533.04,3525.83
Ag,L 3 M 1,2634.4,2633.66
Ag,L 3 M 2,2749.8,
Ag,L 3 M 3,2780.1,
Ag,L 3 M 4,2978.72,2978.240
Ag,L 3 M 5,2984.60,2984.340
Ag,L 3 N 1,3258.1,3256.06
Ag,L 3 N 2,3292.7,
Ag,L 3 N 3,3294.8,
Ag,L 3 N 4,3346.99,3347.842
Ag,L 3 N 5,3347.84,3347.842
Ag,L 3 edge,3360.71,3350.96
Cd,KL 1,22694.5,
Cd,KL 2,22984.48,22984.05
Cd,KL 3,23173.73,23173.98
Cd,KM 1,25941.6,
Cd,KM 2,26061.4,26061.32
Cd,KM 3,26095.1,26095.44
Cd,KM 4,26301.2,
Cd,KM 5,26307.8,
Cd,KN 1,26604.9,
Cd,KN 2,26644.1,26644.07
Cd,KN 3,26643.5,26644.07
Cd,KN 4,26701.15,
Cd,KN 5,26702.5,
Cd,K edge,26720.58,26713.29
Cd,L 1 M 1,3247.1,
Cd,L 1 M 2,3366.9,3367.23
Cd,L 1 M 3,3400.6,3401.48
Cd,L 1 M 4,3606.7,3607.60
Cd,L 1 M 5,3613.3,3614.49
Cd,L 1 N 1,3910.4,
Cd,L 1 N 2,3949.6,3951.38
Cd,L 1 N 3,3949.0,
Cd,L 1 N 4,4006.6,
Cd,L 1 N 5,4008.0,
Cd,L 1 edge,4026.07,4019.01
Cd,L 2 M 1,2957.1,2956.782
Cd,L 2 M 2,3076.9,
Cd,L 2 M 3,3110.6,
Cd,L 2 M 4,3316.7,3316.605
Cd,L 2 M 5,3323.3,
Cd,L 2 N 1,3620.4,3619.38
Cd,L 2 N 2,3659.6,
Cd,L 2 N 3,3659.0,
Cd,L 2 N 4,3716.67,3716.898
Cd,L 2 N 5,3718.0,
Cd,L 2 edge,3736.10,3728.01
Cd,L 3 M 1,2767.9,2767.376
Cd,L 3 M 2,2887.7,
Cd,L 3 M 3,2921.4,
Cd,L 3 M 4,3127.5,3126.950
Cd,L 3 M 5,3134.06,3133.755
Cd,L 3 N 1,3431.2,3429.98
Cd,L 3 N 2,3470.4,
Cd,L 3 N 3,3469.7,
Cd,L 3 N 4,3527.42,3528.159
Cd,L 3 N 5,3528.74,3528.159
Cd,L 3 edge,3546.84,3537.60
In,KL 1,23703.5,
In,KL 2,24002.31,24002.03
In,KL 3,24209.78,24209.75
In,KM 1,27114.4,
In,KM 2,27238.6,27237.50
In,KM 3,27276.1,27275.55
In,KM 4,27489.7,27491.8
In,KM 5,27497.1,27499.1
In,KN 1,27819.7,
In,KN 2,27860.7,27861.20
In,KN 3,27860.9,27861.20
In,KN 4,27923.03,27928.4
In,KN 5,27924.2,27928.4
In,K edge,27949.69,27940.39
In,L 1 M 1,3410.9,
In,L 1 M 2,3535.1,3535.31
In,L 1 M 3,3572.6,3573.14
In,L 1 M 4,3786.1,3786.83
In,L 1 M 5,3793.5,3794.26
In,L 1 N 1,4116.2,
In,L 1 N 2,4157.2,4160.48
In,L 1 N 3,4157.4,4160.48
In,L 1 N 4,4219.5,
In,L 1 N 5,4220.6,
In,L 1 edge,4246.17,4237.26
In,L 2 M 1,3112.1,3112.58
In,L 2 M 2,3236.3,
In,L 2 M 3,3273.8,
In,L 2 M 4,3487.3,3487.244
In,L 2 M 5,3494.8,
In,L 2 N 1,3817.4,3815.93
In,L 2 N 2,3858.4,
In,L 2 N 3,3858.6,
In,L 2 N 4,3920.72,3920.848
In,L 2 N 5,3921.84,
In,L 2 edge,3947.38,3939.32
In,L 3 M 1,2904.6,2904.431
In,L 3 M 2,3028.9,
In,L 3 M 3,3066.4,
In,L 3 M 4,3279.9,3279.322
In,L 3 M 5,3287.28,3286.982
In,L 3 N 1,3609.9,3608.27
In,L 3 N 2,3651.0,
In,L 3 N 3,3651.1,
In,L 3 N 4,3713.24,3713.847
In,L 3 N 5,3714.37,3713.847
In,L 3 edge,3739.91,3730.25
Sn,KL 1,24736.6,
Sn,KL 2,25044.30,25044.04
Sn,KL 3,25271.34,25271.36
Sn,KM 1,28316.1,
Sn,KM 2,28444.7,28444.43
Sn,KM 3,28486.4,28486.26
Sn,KM 4,28707.3,28710.2
Sn,KM 5,28715.6,28716.2
Sn,KN 1,29064.2,
Sn,KN 2,29096.05,29109.64
Sn,KN 3,29109.2,29109.64
Sn,KN 4,29175.4,29175.7
Sn,KN 5,29176.7,29175.7
Sn,K edge,29209.79,29200.39
Sn,L 1 M 1,3579.5,
Sn,L 1 M 2,3708.1,3708.33
